Date,symbol,ltp,high,low,open,close,ycp,trade,value,volume
2024-09-26,BRACBANK,55.1,56.8,54.6,56.7,55.1,56.7,2669.0,243.663,4374793.0
2024-09-27,BRACBANK,55.1,56.8,54.6,56.7,55.1,56.7,2669.0,243.663,4374793.0
2024-09-28,BRACBANK,55.1,56.8,54.6,56.7,55.1,56.7,2669.0,243.663,4374793.0
2024-09-29,BRACBANK,54.3,55.6,54.1,55.1,54.3,55.1,2660.0,264.834,4855456.0
2024-09-30,BRACBANK,54.2,54.7,53.7,54.3,54.2,54.3,1771.0,174.946,3237647.0
2024-10-01,BRACBANK,55.1,55.3,54.3,54.3,55.1,54.2,1545.0,141.013,2565784.0
2024-10-02,BRACBANK,54.2,55.0,53.8,55.0,54.2,55.1,1505.0,168.71,3098843.0
2024-10-03,BRACBANK,54.6,54.7,53.3,54.4,54.6,54.2,1159.0,93.074,1717054.0
2024-10-04,BRACBANK,54.6,54.7,53.3,54.4,54.6,54.2,1159.0,93.074,1717054.0
2024-10-05,BRACBANK,54.6,54.7,53.3,54.4,54.6,54.2,1159.0,93.074,1717054.0
2024-10-06,BRACBANK,54.2,56.2,53.8,55.4,54.2,54.6,1136.0,123.37,2265601.0
2024-10-07,BRACBANK,52.0,54.4,51.7,54.0,52.0,54.2,1597.0,143.099,2694365.0
2024-10-08,BRACBANK,49.7,53.3,49.1,53.3,49.7,52.0,3868.0,348.715,6949438.0
2024-10-09,BRACBANK,52.1,53.0,49.9,50.3,52.1,49.7,1513.0,78.88,1540736.0
2024-10-10,BRACBANK,52.1,53.0,49.9,50.3,52.1,49.7,1513.0,78.88,1540736.0
2024-10-11,BRACBANK,52.1,53.0,49.9,50.3,52.1,49.7,1513.0,78.88,1540736.0
2024-10-12,BRACBANK,52.1,53.0,49.9,50.3,52.1,49.7,1513.0,78.88,1540736.0
2024-10-13,BRACBANK,52.1,53.0,49.9,50.3,52.1,49.7,1513.0,78.88,1540736.0
2024-10-14,BRACBANK,51.8,52.6,51.6,52.4,51.8,52.1,1557.0,112.262,2160272.0
2024-10-15,BRACBANK,52.3,52.6,51.3,52.0,52.3,51.8,1223.0,90.128,1732329.0
2024-10-16,BRACBANK,51.5,52.7,51.3,52.1,51.5,52.3,1034.0,70.066,1351330.0
2024-10-17,BRACBANK,49.6,52.0,49.3,51.4,49.6,51.5,1377.0,102.536,2039650.0
2024-10-18,BRACBANK,49.6,52.0,49.3,51.4,49.6,51.5,1377.0,102.536,2039650.0
2024-10-19,BRACBANK,49.6,52.0,49.3,51.4,49.6,51.5,1377.0,102.536,2039650.0
2024-10-20,BRACBANK,47.1,50.5,46.9,49.9,47.1,49.6,2199.0,125.154,2591298.0
2024-10-21,BRACBANK,48.1,48.3,45.5,47.3,48.1,47.1,1600.0,99.441,2107610.0
2024-10-22,BRACBANK,48.8,49.5,48.3,48.7,48.8,48.1,1227.0,66.755,1365006.0
2024-10-23,BRACBANK,47.5,49.2,47.3,48.8,47.5,48.8,1308.0,75.743,1571151.0
2024-10-24,BRACBANK,47.3,47.7,46.5,47.3,47.3,47.5,991.0,64.116,1365037.0
2024-10-25,BRACBANK,47.3,47.7,46.5,47.3,47.3,47.5,991.0,64.116,1365037.0
2024-10-26,BRACBANK,47.3,47.7,46.5,47.3,47.3,47.5,991.0,64.116,1365037.0
2024-10-27,BRACBANK,46.9,47.9,46.8,47.9,46.9,47.3,754.0,47.031,999373.0
2024-10-28,BRACBANK,47.9,48.5,46.8,47.0,47.9,46.9,1142.0,71.686,1506558.0
2024-10-29,BRACBANK,49.9,50.3,48.2,48.2,49.9,47.9,2126.0,135.29,2728041.0
2024-10-30,BRACBANK,52.0,52.2,50.0,50.2,52.0,49.9,2011.0,214.649,4153939.0
2024-10-31,BRACBANK,51.6,52.1,50.2,52.0,51.6,52.0,1609.0,118.051,2296873.0
2024-11-01,BRACBANK,51.6,52.1,50.2,52.0,51.6,52.0,1609.0,118.051,2296873.0
2024-11-02,BRACBANK,51.6,52.1,50.2,52.0,51.6,52.0,1609.0,118.051,2296873.0
2024-11-03,BRACBANK,50.8,51.9,50.5,51.7,50.8,51.6,1051.0,60.288,1178125.0
2024-11-04,BRACBANK,51.5,51.9,50.3,50.8,51.5,50.8,1205.0,94.794,1855437.0
2024-11-05,BRACBANK,52.2,52.8,51.4,52.1,52.2,51.5,2170.0,188.89,3620539.0
2024-11-06,BRACBANK,51.5,52.8,51.1,52.6,51.5,52.2,1482.0,123.044,2366681.0
2024-11-07,BRACBANK,50.9,51.5,50.6,51.3,50.9,51.5,1191.0,70.041,1375601.0
2024-11-08,BRACBANK,50.9,51.5,50.6,51.3,50.9,51.5,1191.0,70.041,1375601.0
2024-11-09,BRACBANK,50.9,51.5,50.6,51.3,50.9,51.5,1191.0,70.041,1375601.0
2024-11-10,BRACBANK,51.0,51.3,50.4,50.6,51.0,50.9,812.0,46.324,912386.0
2024-11-11,BRACBANK,51.2,51.4,50.7,51.0,51.2,51.0,748.0,66.408,1300573.0
2024-11-12,BRACBANK,50.6,51.7,50.5,51.4,50.6,51.2,842.0,59.565,1169493.0
2024-11-13,BRACBANK,50.9,51.3,50.5,51.1,50.9,50.6,799.0,55.255,1087104.0
2024-11-14,BRACBANK,51.6,52.2,51.2,51.4,51.6,50.9,1146.0,95.009,1835942.0
2024-11-15,BRACBANK,51.6,52.2,51.2,51.4,51.6,50.9,1146.0,95.009,1835942.0
2024-11-16,BRACBANK,51.6,52.2,51.2,51.4,51.6,50.9,1146.0,95.009,1835942.0
2024-11-17,BRACBANK,50.9,51.8,50.6,51.7,50.9,51.6,571.0,47.8,933040.0
2024-11-18,BRACBANK,50.3,51.1,50.0,51.0,50.3,50.9,889.0,50.41,996050.0
2024-11-19,BRACBANK,49.5,50.7,49.0,50.5,49.5,50.3,1064.0,54.933,1103394.0
2024-11-20,BRACBANK,49.2,50.0,48.8,50.0,49.2,49.5,1057.0,69.476,1408130.0
2024-11-21,BRACBANK,49.6,49.9,49.1,49.5,49.6,49.2,484.0,24.549,496614.0
2024-11-22,BRACBANK,49.6,49.9,49.1,49.5,49.6,49.2,484.0,24.549,496614.0
2024-11-23,BRACBANK,49.6,49.9,49.1,49.5,49.6,49.2,484.0,24.549,496614.0
2024-11-24,BRACBANK,48.7,49.6,48.5,49.0,48.7,49.6,674.0,41.895,855270.0
2024-11-25,BRACBANK,47.8,49.4,47.2,48.9,47.8,48.7,924.0,55.219,1143453.0
